S.No,TestName,Component,Priority,Team,User,OldTag,NewTag,FilePath
15,test_ALM108773_ManagerJobPrimaryCCTransferInTimecardWhenEmployeePrimaryJobHasAssociatedCC,TK_L4_Timecard_Transfers_Selenium,P1,Quest,Naman,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L4_Timecard_Transfers_Selenium\test_ALM108773_ManagerJobPrimaryCCTransferInTimecardWhenEmployeePrimaryJobHasAssociatedCC.spec.ts
16,test_ALM108763_VerifyManagerCanAddJobTransferInTheTimecardDurationPaycodeProjectView,TK_L4_Timecard_Transfers_Selenium,P1,Quest,Naman,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L4_Timecard_Transfers_Selenium\test_ALM108763_VerifyManagerCanAddJobTransferInTheTimecardDurationPaycodeProjectView.spec.ts
17,test_ALM96451_Verify_employee_can_update_job_transfer_in_the_timecard,TK_L4_Timecard_Transfers_Selenium,P1,Quest,Naman,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L4_Timecard_Transfers_Selenium\test_ALM96451_Verify_employee_can_update_job_transfer_in_the_timecard.spec.ts
18,test_ALM96142_EmployeeJobWorkRuleScheduledCCTransferInTheTimecardWhenEmployeePrimaryJobHasNoCCHourly,TK_L4_Timecard_Transfers_Selenium,P1,Quest,Naman,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L4_Timecard_Transfers_Selenium\test_ALM96142_EmployeeJobWorkRuleScheduledCCTransferInTheTimecardWhenEmployeePrimaryJobHasNoCCHourly.spec.ts
19,test_ALM108760_108758_109481_108756_VerifyManagerAddUpdateCostCenterTransferOnProjectTimecard,TK_L5_Timecard_Transfers_Selenium,P1,Quest,test1,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L5_Timecard_Transfers_Selenium\test_ALM108760_108758_109481_108756_VerifyManagerAddUpdateCostCenterTransferOnProjectTimecard.spec.ts
20,test_ALM108765_109480_VerifyManagerAddUpdateWorkRuleTransferOnProjectTimecard,TK_L5_Timecard_Transfers_Selenium,P1,Quest,test1,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L5_Timecard_Transfers_Selenium\test_ALM108765_109480_VerifyManagerAddUpdateWorkRuleTransferOnProjectTimecard.spec.ts
21,test_ALM109483_VerifyManagerCanUpdateAJobTransferInTheTimecardProject,TK_L5_Timecard_Transfers_Selenium,P1,Quest,Naman,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L5_Timecard_Transfers_Selenium\test_ALM109483_VerifyManagerCanUpdateAJobTransferInTheTimecardProject.spec.ts
22,test_ALM108772_EmployeeJobDirectCCTransferInTheTimecardWhenEmployeePrimaryJobHasNoCCProjectView,TK_L5_Timecard_Transfers_Selenium,P1,Quest,Naman,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L5_Timecard_Transfers_Selenium\test_ALM108772_EmployeeJobDirectCCTransferInTheTimecardWhenEmployeePrimaryJobHasNoCCProjectView.spec.ts
23,test_ALM96047_VerifyManagerCanUpdateAJobTransferInTheTimecardHourly,TK_L5_Timecard_Transfers_Selenium,P1,Quest,Naman,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L5_Timecard_Transfers_Selenium\test_ALM96047_VerifyManagerCanUpdateAJobTransferInTheTimecardHourly.spec.ts
24,test_TRC8014159_VerifyEmpCappedBreakAmountExceptionInProject,TK_Regression_Exceptions_Break_Selenium,P1,Dyna,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\exceptions\exceptionforpaidbreaks\TK_Regression_Exceptions_Break_Selenium\test_TRC8014159_VerifyEmpCappedBreakAmountExceptionInProject.spec.ts
25,test_TR8014158_VerifyEmpCappedBreakAmountExceptionInHourly,TK_Regression_Exceptions_Break_Selenium,P1,Dyna,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\exceptions\exceptionforpaidbreaks\TK_Regression_Exceptions_Break_Selenium\test_TR8014158_VerifyEmpCappedBreakAmountExceptionInHourly.spec.ts
26,test_TR8014157_VerifyMgrCappedBreakAmountExceptionInProject,TK_Regression_Exceptions_Break_Selenium,P1,Dyna,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\exceptions\exceptionforpaidbreaks\TK_Regression_Exceptions_Break_Selenium\test_TR8014157_VerifyMgrCappedBreakAmountExceptionInProject.spec.ts
27,test_TR8014156_VerifyMgrCappedBreakAmountExceptionInHourly,TK_Regression_Exceptions_Break_Selenium,P1,Dyna,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\exceptions\exceptionforpaidbreaks\TK_Regression_Exceptions_Break_Selenium\test_TR8014156_VerifyMgrCappedBreakAmountExceptionInHourly.spec.ts
28,test_TR7798598_VerifyEmpShowNotEligibleForBreakPremiumInProject,TK_Regression_Exceptions_Break_Selenium,P1,Dyna,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\exceptions\exceptionforpaidbreaks\TK_Regression_Exceptions_Break_Selenium\test_TR7798598_VerifyEmpShowNotEligibleForBreakPremiumInProject.spec.ts
29,test_TR7798597_VerifyEmpShowNotEligibleForBreakPremiumInHourly,TK_Regression_Exceptions_Break_Selenium,P1,Dyna,Vikash,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\exceptions\exceptionforpaidbreaks\TK_Regression_Exceptions_Break_Selenium\test_TR7798597_VerifyEmpShowNotEligibleForBreakPremiumInHourly.spec.ts
30,test_TR7798596_VerifyMgrShowNotEligibleForBreakPremiumInProject,TK_Regression_Exceptions_Break_Selenium,P1,Dyna,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\exceptions\exceptionforpaidbreaks\TK_Regression_Exceptions_Break_Selenium\test_TR7798596_VerifyMgrShowNotEligibleForBreakPremiumInProject.spec.ts
31,test_TR7798595_VerifyMgrShowNotEligibleForBreakPremiumInHourly,TK_Regression_Exceptions_Break_Selenium,P1,Dyna,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\exceptions\exceptionforpaidbreaks\TK_Regression_Exceptions_Break_Selenium\test_TR7798595_VerifyMgrShowNotEligibleForBreakPremiumInHourly.spec.ts
32,test_ALM113366_Timecard_landing_page_integration,TK_Regression_ListView_ManagerTimecardMedium_Selenium,P1,Patriots,Naman,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\listview\TK_Regression_ListView_ManagerTimecardMedium_Selenium\test_ALM113366_Timecard_landing_page_integration.spec.ts
33,test_ALM159644_MovedAmountsButtonIsNotDisabledForManagerWithFAPOnEmployeeTimecardWithMoveAmount,TK_Regression_MoveAmount_Selenium_Part1,P1,Patriots,Vikash,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\moveamount\TK_Regression_MoveAmount_Selenium_Part1\test_ALM159644_MovedAmountsButtonIsNotDisabledForManagerWithFAPOnEmployeeTimecardWithMoveAmount.spec.ts
